연번,지형지물부호,행정읍면동,법정읍면동,설치일자,소화전형식,주소,경도,위도,데이터기준일자
957,소화전,초지동,목내동,2014-01-01,지하단구,경기도 안산시 단원구 목내동 440(434-4 인근),126.7742095,37.298872,2026-01-12
958,소화전,초지동,목내동,2014-01-01,지하단구,경기도 안산시 단원구 목내동 440(433-3 인근),126.7742095,37.298872,2026-01-12
959,소화전,초지동,목내동,2014-01-01,지상쌍구,경기도 안산시 단원구 목내동 501(491-3 인근),126.7692348,37.3002981,2026-01-12
960,소화전,초지동,목내동,2014-01-01,지상쌍구,경기도 안산시 단원구 목내동 509(505-6 인근),126.7660279,37.3012108,2026-01-12
961,소화전,초지동,성곡동,2014-01-01,지하단구,경기도 안산시 단원구 성곡동 612(610-3 인근),126.7628094,37.3021323,2026-01-12
962,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 619-1(617-4 인근),126.759038,37.3044356,2026-01-12
963,소화전,초지동,성곡동,2014-01-01,지하단구,경기도 안산시 단원구 성곡동 619-1(615 인근),126.759038,37.3044356,2026-01-12
964,소화전,초지동,원시동,2014-01-01,지상쌍구,경기도 안산시 단원구 원시동 829(824-1 인근),126.7805326,37.2970541,2026-01-12
965,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 619-1(615-4 인근 보호틀),126.759038,37.3044356,2026-01-12
966,소화전,초지동,성곡동,2014-01-01,지하단구,경기도 안산시 단원구 성곡동 619-1(617-7 인근),126.759038,37.3044356,2026-01-12
967,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 619-1(617-8 인근),126.759038,37.3044356,2026-01-12
968,소화전,신길동,원곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 원곡동 886(811-22 인근),126.7957908,37.3282969,2026-01-12
969,소화전,신길동,원곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 원곡동 895(820-36 인근),126.7956796,37.326782,2026-01-12
970,소화전,초지동,원시동,2001-09-01,지상단구,경기도 안산시 단원구 원시동 780-7 자체소화전,126.7909335,37.3089196,2026-01-12
971,소화전,초지동,초지동,2003-01-01,,경기도 안산시 단원구 초지동 786(742-1 인근 사설),126.8118783,37.3026712,2026-01-12
972,소화전,초지동,초지동,2000-01-01,,경기도 안산시 단원구 초지동 742-11,126.8127815,37.303338,2026-01-12
973,소화전,초지동,초지동,2002-01-01,,경기도 안산시 단원구 초지동 744-3 사설,126.8122078,37.3010886,2026-01-12
974,소화전,초지동,초지동,2003-01-01,,경기도 안산시 단원구 초지동 743-1 사설,126.8103799,37.302557,2026-01-12
975,소화전,호수동,고잔동,2001-01-01,지상쌍구,경기도 안산시 단원구 고잔동 809(718-3 인근 보호틀),126.8282521,37.3087634,2026-01-12
976,소화전,와동,와동,1999-01-01,,경기도 안산시 단원구 와동 855-2(740-10 인근),126.8236008,37.3350553,2026-01-12
977,급수탑,월피동,월피동,2015-05-21,지상단구,경기도 안산시 상록구 월피동 468-8,126.8544981,37.3350431,2026-01-12
978,소화전,반월동,사사동,2015-01-01,지하단구,경기도 안산시 상록구 사사동 443-23(443-8 인근),126.919255,37.2983842,2026-01-12
979,소화전,반월동,건건동,2015-01-01,지상쌍구,경기도 안산시 상록구 건건동 711-3(709 인근 보호틀),126.905392,37.3077901,2026-01-12
980,소화전,초지동,성곡동,1997-01-01,지상쌍구,경기도 안산시 단원구 성곡동 782-4(778 인근 보도),126.729137,37.3116961,2026-01-12
981,소화전,초지동,성곡동,1992-01-01,지하단구,경기도 안산시 단원구 성곡동 693-7(660-10 보도),126.7370605,37.3276214,2026-01-12
982,소화전,초지동,성곡동,2014-01-01,미분류,경기도 안산시 단원구 성곡동 533(24-5 인근),126.7563171,37.3080112,2026-01-12
983,소화전,초지동,성곡동,2014-01-01,미분류,경기도 안산시 단원구 성곡동 530(514-2 인근),126.7563171,37.3080112,2026-01-12
984,소화전,초지동,성곡동,2014-01-01,미분류,경기도 안산시 단원구 성곡동 533(519 인근),126.7563171,37.3080112,2026-01-12
985,소화전,초지동,성곡동,2014-01-01,미분류,경기도 안산시 단원구 성곡동 530(517-10 인근),126.7563171,37.3080112,2026-01-12
986,소화전,와동,와동,,,경기도 안산시 단원구 와동 876-16(826-4 인근),126.8180218,37.3353421,2026-01-12
987,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 531-1(524 인근),126.7563171,37.3080112,2026-01-12
988,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 531-1(524-2 인근),126.7563171,37.3080112,2026-01-12
989,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 529-1(517-3 인근),126.7563171,37.3080112,2026-01-12
990,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 845(839 인근),126.7354668,37.3021947,2026-01-12
991,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 845(839 인근),126.7354668,37.3021947,2026-01-12
992,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 534(518 인근),126.7563171,37.3080112,2026-01-12
993,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 530(520-4 인근),126.7563171,37.3080112,2026-01-12
994,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 533(520-11 인근),126.7563171,37.3080112,2026-01-12
995,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 532-1(525 인근),126.7563171,37.3080112,2026-01-12
996,소화전,초지동,성곡동,2014-01-01,지상쌍구,경기도 안산시 단원구 성곡동 533(525 인근),126.7563171,37.3080112,2026-01-12
